	
AGE vs Completion Percentage Statistics:	
Value Range	Count	Avg Completion	Min	Max	Q1	Median	Q3
5855.0-5860.0	1	60.0%	60%	60%	60%	60%	60%
6000.0-6005.0	3	74.7%	71%	79%	71%	74%	79%
6325.0-6330.0	1	60.0%	60%	60%	60%	60%	60%
6360.0-6365.0	1	67.0%	67%	67%	67%	67%	67%
6375.0-6380.0	1	47.0%	47%	47%	47%	47%	47%
6495.0-6500.0	1	66.0%	66%	66%	66%	66%	66%
6850.0-6855.0	1	53.0%	53%	53%	53%	53%	53%
6865.0-6870.0	1	41.0%	41%	41%	41%	41%	41%
7000.0-7005.0	2	47.0%	22%	72%	22%	72%	72%
7180.0-7185.0	1	69.0%	69%	69%	69%	69%	69%
8000.0-8005.0	4	60.5%	40%	76%	60%	66%	76%
8120.0-8125.0	1	78.0%	78%	78%	78%	78%	78%
8155.0-8160.0	1	69.0%	69%	69%	69%	69%	69%
8240.0-8245.0	1	16.0%	16%	16%	16%	16%	16%
8500.0-8505.0	2	48.0%	48%	48%	48%	48%	48%
8510.0-8515.0	1	69.0%	69%	69%	69%	69%	69%
8540.0-8545.0	1	59.0%	59%	59%	59%	59%	59%
8610.0-8615.0	1	34.0%	34%	34%	34%	34%	34%
8765.0-8770.0	1	72.0%	72%	72%	72%	72%	72%
8785.0-8790.0	1	71.0%	71%	71%	71%	71%	71%
8845.0-8850.0	1	62.0%	62%	62%	62%	62%	62%
8880.0-8885.0	1	84.0%	84%	84%	84%	84%	84%
8885.0-8890.0	4	56.5%	36%	76%	45%	69%	76%
9000.0-9005.0	2	41.5%	36%	47%	36%	47%	47%
9570.0-9575.0	1	71.0%	71%	71%	71%	71%	71%
9595.0-9600.0	1	50.0%	50%	50%	50%	50%	50%
9745.0-9750.0	1	74.0%	74%	74%	74%	74%	74%
9985.0-9990.0	1	14.0%	14%	14%	14%	14%	14%
9995.0-10000.0	6	64.3%	52%	81%	57%	66%	71%
10000.0-10005.0	36	60.4%	19%	90%	48%	67%	72%
10005.0-10010.0	1	78.0%	78%	78%	78%	78%	78%
10010.0-10015.0	2	61.0%	48%	74%	48%	74%	74%
10015.0-10020.0	2	78.5%	74%	83%	74%	83%	83%
10020.0-10025.0	1	67.0%	67%	67%	67%	67%	67%
10025.0-10030.0	3	68.7%	59%	81%	59%	66%	81%
10035.0-10040.0	2	71.5%	71%	72%	71%	72%	72%
10050.0-10055.0	4	44.2%	14%	59%	47%	57%	59%
10055.0-10060.0	2	69.0%	67%	71%	67%	71%	71%
10060.0-10065.0	1	71.0%	71%	71%	71%	71%	71%
10100.0-10105.0	2	61.0%	60%	62%	60%	62%	62%
10250.0-10255.0	1	78.0%	78%	78%	78%	78%	78%
10305.0-10310.0	1	66.0%	66%	66%	66%	66%	66%
10330.0-10335.0	1	36.0%	36%	36%	36%	36%	36%
11000.0-11005.0	2	57.0%	38%	76%	38%	76%	76%
11030.0-11035.0	1	64.0%	64%	64%	64%	64%	64%
11100.0-11105.0	1	60.0%	60%	60%	60%	60%	60%
11110.0-11115.0	5	67.6%	14%	90%	72%	72%	90%
11140.0-11145.0	1	72.0%	72%	72%	72%	72%	72%
11145.0-11150.0	1	62.0%	62%	62%	62%	62%	62%
11155.0-11160.0	1	40.0%	40%	40%	40%	40%	40%
11485.0-11490.0	1	43.0%	43%	43%	43%	43%	43%
11650.0-11655.0	1	52.0%	52%	52%	52%	52%	52%
12000.0-12005.0	1	62.0%	62%	62%	62%	62%	62%
12220.0-12225.0	2	63.5%	48%	79%	48%	79%	79%
12345.0-12350.0	10	54.7%	14%	84%	31%	71%	74%
12560.0-12565.0	1	79.0%	79%	79%	79%	79%	79%
12785.0-12790.0	1	81.0%	81%	81%	81%	81%	81%
13000.0-13005.0	1	78.0%	78%	78%	78%	78%	78%
13630.0-13635.0	1	64.0%	64%	64%	64%	64%	64%
14560.0-14565.0	1	22.0%	22%	22%	22%	22%	22%
14585.0-14590.0	1	62.0%	62%	62%	62%	62%	62%
14675.0-14680.0	1	45.0%	45%	45%	45%	45%	45%
14835.0-14840.0	1	71.0%	71%	71%	71%	71%	71%
14965.0-14970.0	1	71.0%	71%	71%	71%	71%	71%
15000.0-15005.0	3	61.7%	50%	71%	50%	64%	71%
15010.0-15015.0	1	14.0%	14%	14%	14%	14%	14%
15120.0-15125.0	1	24.0%	24%	24%	24%	24%	24%
15285.0-15290.0	1	60.0%	60%	60%	60%	60%	60%
15320.0-15325.0	1	34.0%	34%	34%	34%	34%	34%
15430.0-15435.0	1	16.0%	16%	16%	16%	16%	16%
15455.0-15460.0	1	19.0%	19%	19%	19%	19%	19%
15485.0-15490.0	1	88.0%	88%	88%	88%	88%	88%
15545.0-15550.0	1	36.0%	36%	36%	36%	36%	36%
15555.0-15560.0	2	73.0%	67%	79%	67%	79%	79%
15620.0-15625.0	1	88.0%	88%	88%	88%	88%	88%
15640.0-15645.0	1	59.0%	59%	59%	59%	59%	59%
15645.0-15650.0	2	60.5%	50%	71%	50%	71%	71%
15650.0-15655.0	1	71.0%	71%	71%	71%	71%	71%
15740.0-15745.0	1	48.0%	48%	48%	48%	48%	48%
15745.0-15750.0	1	41.0%	41%	41%	41%	41%	41%
16000.0-16005.0	2	78.5%	64%	93%	64%	93%	93%
16040.0-16045.0	1	69.0%	69%	69%	69%	69%	69%
16060.0-16065.0	1	55.0%	55%	55%	55%	55%	55%
16200.0-16205.0	1	59.0%	59%	59%	59%	59%	59%
16450.0-16455.0	1	67.0%	67%	67%	67%	67%	67%
16465.0-16470.0	1	52.0%	52%	52%	52%	52%	52%
16545.0-16550.0	1	71.0%	71%	71%	71%	71%	71%
16585.0-16590.0	1	67.0%	67%	67%	67%	67%	67%
16845.0-16850.0	1	71.0%	71%	71%	71%	71%	71%
16865.0-16870.0	1	36.0%	36%	36%	36%	36%	36%
16895.0-16900.0	1	72.0%	72%	72%	72%	72%	72%
17000.0-17005.0	2	72.5%	69%	76%	69%	76%	76%
17050.0-17055.0	1	72.0%	72%	72%	72%	72%	72%
17055.0-17060.0	1	59.0%	59%	59%	59%	59%	59%
17070.0-17075.0	1	41.0%	41%	41%	41%	41%	41%
17270.0-17275.0	1	62.0%	62%	62%	62%	62%	62%
17300.0-17305.0	1	47.0%	47%	47%	47%	47%	47%
17400.0-17405.0	1	71.0%	71%	71%	71%	71%	71%
17450.0-17455.0	1	71.0%	71%	71%	71%	71%	71%
17565.0-17570.0	1	45.0%	45%	45%	45%	45%	45%
17570.0-17575.0	1	76.0%	76%	76%	76%	76%	76%
17580.0-17585.0	1	34.0%	34%	34%	34%	34%	34%
17875.0-17880.0	1	64.0%	64%	64%	64%	64%	64%
17985.0-17990.0	1	57.0%	57%	57%	57%	57%	57%
18040.0-18045.0	1	29.0%	29%	29%	29%	29%	29%
18050.0-18055.0	1	29.0%	29%	29%	29%	29%	29%
18065.0-18070.0	1	19.0%	19%	19%	19%	19%	19%
18580.0-18585.0	1	71.0%	71%	71%	71%	71%	71%
18975.0-18980.0	1	88.0%	88%	88%	88%	88%	88%
18995.0-19000.0	2	39.5%	36%	43%	36%	43%	43%
19000.0-19005.0	2	60.5%	50%	71%	50%	71%	71%
19320.0-19325.0	1	76.0%	76%	76%	76%	76%	76%
19500.0-19505.0	2	71.0%	71%	71%	71%	71%	71%
19520.0-19525.0	1	55.0%	55%	55%	55%	55%	55%
19555.0-19560.0	1	59.0%	59%	59%	59%	59%	59%
19925.0-19930.0	1	79.0%	79%	79%	79%	79%	79%
19995.0-20000.0	3	57.0%	38%	71%	38%	62%	71%
20000.0-20005.0	10	62.6%	14%	88%	50%	71%	74%
20050.0-20055.0	1	48.0%	48%	48%	48%	48%	48%
21035.0-21040.0	1	74.0%	74%	74%	74%	74%	74%
21860.0-21865.0	1	55.0%	55%	55%	55%	55%	55%
22220.0-22225.0	1	78.0%	78%	78%	78%	78%	78%
23875.0-23880.0	1	45.0%	45%	45%	45%	45%	45%
24565.0-24570.0	1	72.0%	72%	72%	72%	72%	72%
25555.0-25560.0	1	84.0%	84%	84%	84%	84%	84%
27000.0-27005.0	1	81.0%	81%	81%	81%	81%	81%
28000.0-28005.0	1	74.0%	74%	74%	74%	74%	74%
30000.0-30005.0	2	84.0%	71%	97%	71%	97%	97%
30215.0-30220.0	1	72.0%	72%	72%	72%	72%	72%
33500.0-33505.0	1	81.0%	81%	81%	81%	81%	81%
34455.0-34460.0	1	71.0%	71%	71%	71%	71%	71%
35210.0-35215.0	1	72.0%	72%	72%	72%	72%	72%
38000.0-38005.0	1	71.0%	71%	71%	71%	71%	71%
40000.0-40005.0	2	72.5%	62%	83%	62%	83%	83%
45560.0-45565.0	1	74.0%	74%	74%	74%	74%	74%
48150.0-48155.0	1	64.0%	64%	64%	64%	64%	64%
48945.0-48950.0	1	50.0%	50%	50%	50%	50%	50%
50000.0-50005.0	5	57.0%	24%	71%	57%	64%	69%
51110.0-51115.0	1	14.0%	14%	14%	14%	14%	14%
54525.0-54530.0	2	48.0%	36%	60%	36%	60%	60%
54560.0-54565.0	1	57.0%	57%	57%	57%	57%	57%
54850.0-54855.0	1	71.0%	71%	71%	71%	71%	71%
55555.0-55560.0	2	65.0%	47%	83%	47%	83%	83%
56000.0-56005.0	1	14.0%	14%	14%	14%	14%	14%
57840.0-57845.0	1	72.0%	72%	72%	72%	72%	72%
59225.0-59230.0	1	71.0%	71%	71%	71%	71%	71%
65145.0-65150.0	1	48.0%	48%	48%	48%	48%	48%
66665.0-66670.0	1	83.0%	83%	83%	83%	83%	83%
67685.0-67690.0	1	71.0%	71%	71%	71%	71%	71%
68980.0-68985.0	1	38.0%	38%	38%	38%	38%	38%
77775.0-77780.0	1	69.0%	69%	69%	69%	69%	69%
85600.0-85605.0	1	71.0%	71%	71%	71%	71%	71%
89260.0-89265.0	1	62.0%	62%	62%	62%	62%	62%
89560.0-89565.0	1	81.0%	81%	81%	81%	81%	81%
92000.0-92005.0	1	74.0%	74%	74%	74%	74%	74%
94545.0-94550.0	1	90.0%	90%	90%	90%	90%	90%
98555.0-98560.0	1	71.0%	71%	71%	71%	71%	71%
99995.0-100000.0	9	63.2%	36%	90%	57%	62%	72%
100000.0-100005.0	14	58.0%	24%	71%	47%	64%	69%
100010.0-100015.0	1	36.0%	36%	36%	36%	36%	36%
100805.0-100810.0	1	21.0%	21%	21%	21%	21%	21%
111110.0-111115.0	6	60.8%	31%	71%	57%	69%	71%
111220.0-111225.0	5	80.6%	66%	93%	71%	83%	90%
111255.0-111260.0	1	79.0%	79%	79%	79%	79%	79%
112230.0-112235.0	1	14.0%	14%	14%	14%	14%	14%
120980.0-120985.0	1	55.0%	55%	55%	55%	55%	55%
121200.0-121205.0	1	86.0%	86%	86%	86%	86%	86%
121320.0-121325.0	1	41.0%	41%	41%	41%	41%	41%
123110.0-123115.0	1	74.0%	74%	74%	74%	74%	74%
123340.0-123345.0	1	69.0%	69%	69%	69%	69%	69%
123455.0-123460.0	6	47.8%	21%	84%	21%	50%	71%
123560.0-123565.0	1	47.0%	47%	47%	47%	47%	47%
123650.0-123655.0	1	19.0%	19%	19%	19%	19%	19%
124000.0-124005.0	1	71.0%	71%	71%	71%	71%	71%
124355.0-124360.0	1	71.0%	71%	71%	71%	71%	71%
132230.0-132235.0	1	72.0%	72%	72%	72%	72%	72%
133330.0-133335.0	1	14.0%	14%	14%	14%	14%	14%
134335.0-134340.0	1	79.0%	79%	79%	79%	79%	79%
134685.0-134690.0	1	48.0%	48%	48%	48%	48%	48%
135790.0-135795.0	1	72.0%	72%	72%	72%	72%	72%
136780.0-136785.0	1	55.0%	55%	55%	55%	55%	55%
150200.0-150205.0	1	71.0%	71%	71%	71%	71%	71%
151540.0-151545.0	1	53.0%	53%	53%	53%	53%	53%
154465.0-154470.0	1	71.0%	71%	71%	71%	71%	71%
155000.0-155005.0	1	88.0%	88%	88%	88%	88%	88%
155170.0-155175.0	1	60.0%	60%	60%	60%	60%	60%
155550.0-155555.0	1	33.0%	33%	33%	33%	33%	33%
155675.0-155680.0	1	48.0%	48%	48%	48%	48%	48%
156450.0-156455.0	1	34.0%	34%	34%	34%	34%	34%
156745.0-156750.0	1	72.0%	72%	72%	72%	72%	72%
158995.0-159000.0	1	81.0%	81%	81%	81%	81%	81%
159155.0-159160.0	1	69.0%	69%	69%	69%	69%	69%
159750.0-159755.0	3	50.0%	33%	67%	33%	50%	67%
163000.0-163005.0	1	72.0%	72%	72%	72%	72%	72%
165470.0-165475.0	1	53.0%	53%	53%	53%	53%	53%
169170.0-169175.0	1	66.0%	66%	66%	66%	66%	66%
170000.0-170005.0	1	66.0%	66%	66%	66%	66%	66%
174100.0-174105.0	1	47.0%	47%	47%	47%	47%	47%
178945.0-178950.0	1	72.0%	72%	72%	72%	72%	72%
180000.0-180005.0	1	62.0%	62%	62%	62%	62%	62%
180185.0-180190.0	1	48.0%	48%	48%	48%	48%	48%
181110.0-181115.0	1	72.0%	72%	72%	72%	72%	72%
185000.0-185005.0	1	76.0%	76%	76%	76%	76%	76%
185450.0-185455.0	1	45.0%	45%	45%	45%	45%	45%
185570.0-185575.0	1	24.0%	24%	24%	24%	24%	24%
190000.0-190005.0	1	16.0%	16%	16%	16%	16%	16%
199995.0-200000.0	1	84.0%	84%	84%	84%	84%	84%
200000.0-200005.0	3	50.0%	17%	71%	17%	62%	71%
222220.0-222225.0	2	54.5%	43%	66%	43%	66%	66%
232430.0-232435.0	1	45.0%	45%	45%	45%	45%	45%
241655.0-241660.0	1	71.0%	71%	71%	71%	71%	71%
283745.0-283750.0	1	78.0%	78%	78%	78%	78%	78%
285475.0-285480.0	1	71.0%	71%	71%	71%	71%	71%
300000.0-300005.0	1	55.0%	55%	55%	55%	55%	55%
323230.0-323235.0	1	24.0%	24%	24%	24%	24%	24%
323445.0-323450.0	1	71.0%	71%	71%	71%	71%	71%
350540.0-350545.0	1	71.0%	71%	71%	71%	71%	71%
354890.0-354895.0	1	57.0%	57%	57%	57%	57%	57%
365000.0-365005.0	1	72.0%	72%	72%	72%	72%	72%
432560.0-432565.0	1	69.0%	69%	69%	69%	69%	69%
445550.0-445555.0	1	71.0%	71%	71%	71%	71%	71%
456785.0-456790.0	1	88.0%	88%	88%	88%	88%	88%
466460.0-466465.0	1	48.0%	48%	48%	48%	48%	48%
467885.0-467890.0	1	64.0%	64%	64%	64%	64%	64%
525585.0-525590.0	1	81.0%	81%	81%	81%	81%	81%
543245.0-543250.0	1	71.0%	71%	71%	71%	71%	71%
548400.0-548405.0	1	64.0%	64%	64%	64%	64%	64%
555555.0-555560.0	1	76.0%	76%	76%	76%	76%	76%
556465.0-556470.0	1	81.0%	81%	81%	81%	81%	81%
566555.0-566560.0	1	14.0%	14%	14%	14%	14%	14%
566840.0-566845.0	1	21.0%	21%	21%	21%	21%	21%
585785.0-585790.0	1	48.0%	48%	48%	48%	48%	48%
585855.0-585860.0	1	36.0%	36%	36%	36%	36%	36%
666665.0-666670.0	1	14.0%	14%	14%	14%	14%	14%
687455.0-687460.0	1	40.0%	40%	40%	40%	40%	40%
777160.0-777165.0	1	72.0%	72%	72%	72%	72%	72%
854895.0-854900.0	1	79.0%	79%	79%	79%	79%	79%
909995.0-910000.0	1	66.0%	66%	66%	66%	66%	66%
999995.0-1000000.0	2	71.0%	66%	76%	66%	76%	76%
1000000.0-1000005.0	14	64.9%	26%	83%	57%	71%	76%
1110000.0-1110005.0	1	62.0%	62%	62%	62%	62%	62%
1111000.0-1111005.0	1	14.0%	14%	14%	14%	14%	14%
1111110.0-1111115.0	5	57.2%	48%	67%	52%	59%	60%
1127370.0-1127375.0	1	59.0%	59%	59%	59%	59%	59%
1200000.0-1200005.0	1	84.0%	84%	84%	84%	84%	84%
1211515.0-1211520.0	1	76.0%	76%	76%	76%	76%	76%
1212120.0-1212125.0	1	60.0%	60%	60%	60%	60%	60%
1230125.0-1230130.0	1	67.0%	67%	67%	67%	67%	67%
1234430.0-1234435.0	1	66.0%	66%	66%	66%	66%	66%
1234455.0-1234460.0	1	60.0%	60%	60%	60%	60%	60%
1234565.0-1234570.0	4	61.2%	29%	76%	69%	71%	76%
1245260.0-1245265.0	1	64.0%	64%	64%	64%	64%	64%
1256695.0-1256700.0	1	36.0%	36%	36%	36%	36%	36%
1365155.0-1365160.0	1	78.0%	78%	78%	78%	78%	78%
1456785.0-1456790.0	1	33.0%	33%	33%	33%	33%	33%
1459465.0-1459470.0	1	69.0%	69%	69%	69%	69%	69%
1508525.0-1508530.0	1	36.0%	36%	36%	36%	36%	36%
1541550.0-1541555.0	1	71.0%	71%	71%	71%	71%	71%
1546890.0-1546895.0	1	78.0%	78%	78%	78%	78%	78%
1564560.0-1564565.0	1	60.0%	60%	60%	60%	60%	60%
1569625.0-1569630.0	1	48.0%	48%	48%	48%	48%	48%
1569745.0-1569750.0	1	71.0%	71%	71%	71%	71%	71%
1596320.0-1596325.0	1	31.0%	31%	31%	31%	31%	31%
1624650.0-1624655.0	1	64.0%	64%	64%	64%	64%	64%
1660000.0-1660005.0	1	60.0%	60%	60%	60%	60%	60%
1675675.0-1675680.0	1	47.0%	47%	47%	47%	47%	47%
1790000.0-1790005.0	1	71.0%	71%	71%	71%	71%	71%
1800000.0-1800005.0	1	47.0%	47%	47%	47%	47%	47%
1800005.0-1800010.0	1	16.0%	16%	16%	16%	16%	16%
1827635.0-1827640.0	1	50.0%	50%	50%	50%	50%	50%
1999995.0-2000000.0	1	28.0%	28%	28%	28%	28%	28%
2000000.0-2000005.0	5	56.6%	36%	71%	48%	59%	69%
2012165.0-2012170.0	1	60.0%	60%	60%	60%	60%	60%
2100000.0-2100005.0	1	64.0%	64%	64%	64%	64%	64%
2120000.0-2120005.0	1	74.0%	74%	74%	74%	74%	74%
2200210.0-2200215.0	1	69.0%	69%	69%	69%	69%	69%
2395410.0-2395415.0	1	72.0%	72%	72%	72%	72%	72%
2651995.0-2652000.0	1	67.0%	67%	67%	67%	67%	67%
2800000.0-2800005.0	1	62.0%	62%	62%	62%	62%	62%
3000000.0-3000005.0	1	47.0%	47%	47%	47%	47%	47%
3424595.0-3424600.0	1	98.0%	98%	98%	98%	98%	98%
3434340.0-3434345.0	1	60.0%	60%	60%	60%	60%	60%
4000000.0-4000005.0	1	59.0%	59%	59%	59%	59%	59%
5245845.0-5245850.0	1	28.0%	28%	28%	28%	28%	28%
5458545.0-5458550.0	1	69.0%	69%	69%	69%	69%	69%
5778785.0-5778790.0	1	69.0%	69%	69%	69%	69%	69%
6000000.0-6000005.0	1	76.0%	76%	76%	76%	76%	76%
6764815.0-6764820.0	1	69.0%	69%	69%	69%	69%	69%
8000000.0-8000005.0	2	74.0%	57%	91%	57%	91%	91%
8554550.0-8554555.0	1	14.0%	14%	14%	14%	14%	14%
8578850.0-8578855.0	1	69.0%	69%	69%	69%	69%	69%
9000000.0-9000005.0	1	71.0%	71%	71%	71%	71%	71%
9234540.0-9234545.0	1	66.0%	66%	66%	66%	66%	66%
9999995.0-10000000.0	6	64.0%	45%	72%	55%	71%	72%
10000000.0-10000005.0	8	62.4%	22%	79%	62%	69%	72%
10101010.0-10101015.0	2	59.5%	57%	62%	57%	62%	62%
10101100.0-10101105.0	1	60.0%	60%	60%	60%	60%	60%
10110000.0-10110005.0	1	67.0%	67%	67%	67%	67%	67%
10110010.0-10110015.0	1	33.0%	33%	33%	33%	33%	33%
10111010.0-10111015.0	1	74.0%	74%	74%	74%	74%	74%
10111100.0-10111105.0	1	71.0%	71%	71%	71%	71%	71%
10111110.0-10111115.0	1	41.0%	41%	41%	41%	41%	41%
10242525.0-10242530.0	1	43.0%	43%	43%	43%	43%	43%
11111110.0-11111115.0	2	60.0%	48%	72%	48%	72%	72%
11111225.0-11111230.0	1	64.0%	64%	64%	64%	64%	64%
11118250.0-11118255.0	1	14.0%	14%	14%	14%	14%	14%
12300000.0-12300005.0	1	38.0%	38%	38%	38%	38%	38%
12311460.0-12311465.0	1	48.0%	48%	48%	48%	48%	48%
12345675.0-12345680.0	3	43.0%	36%	48%	36%	45%	48%
12345685.0-12345690.0	1	69.0%	69%	69%	69%	69%	69%
12632130.0-12632135.0	1	72.0%	72%	72%	72%	72%	72%
12655870.0-12655875.0	1	17.0%	17%	17%	17%	17%	17%
15000000.0-15000005.0	1	47.0%	47%	47%	47%	47%	47%
15555555.0-15555560.0	1	64.0%	64%	64%	64%	64%	64%
15896950.0-15896955.0	1	62.0%	62%	62%	62%	62%	62%
16000000.0-16000005.0	1	69.0%	69%	69%	69%	69%	69%
16125475.0-16125480.0	1	72.0%	72%	72%	72%	72%	72%
17045450.0-17045455.0	1	57.0%	57%	57%	57%	57%	57%
17589365.0-17589370.0	1	71.0%	71%	71%	71%	71%	71%
18218545.0-18218550.0	1	34.0%	34%	34%	34%	34%	34%
19245875.0-19245880.0	1	69.0%	69%	69%	69%	69%	69%
19531555.0-19531560.0	1	29.0%	29%	29%	29%	29%	29%
20000000.0-20000005.0	1	69.0%	69%	69%	69%	69%	69%
21345685.0-21345690.0	1	48.0%	48%	48%	48%	48%	48%
22222220.0-22222225.0	1	67.0%	67%	67%	67%	67%	67%
30000000.0-30000005.0	1	76.0%	76%	76%	76%	76%	76%
54694645.0-54694650.0	1	59.0%	59%	59%	59%	59%	59%
55555555.0-55555560.0	1	71.0%	71%	71%	71%	71%	71%
55588840.0-55588845.0	1	71.0%	71%	71%	71%	71%	71%
58551110.0-58551115.0	1	76.0%	76%	76%	76%	76%	76%
74458690.0-74458695.0	1	36.0%	36%	36%	36%	36%	36%
88269905.0-88269910.0	1	57.0%	57%	57%	57%	57%	57%
90909090.0-90909095.0	1	16.0%	16%	16%	16%	16%	16%
99999995.0-100000000.0	7	71.3%	60%	78%	69%	71%	76%
100000000.0-100000005.0	3	48.0%	21%	71%	21%	52%	71%
100151560.0-100151565.0	1	83.0%	83%	83%	83%	83%	83%
110001100.0-110001105.0	1	72.0%	72%	72%	72%	72%	72%
111111110.0-111111115.0	2	64.5%	55%	74%	55%	74%	74%
120201020.0-120201025.0	1	16.0%	16%	16%	16%	16%	16%
122233340.0-122233345.0	1	79.0%	79%	79%	79%	79%	79%
122341530.0-122341535.0	1	76.0%	76%	76%	76%	76%	76%
123456785.0-123456790.0	3	72.0%	59%	88%	59%	69%	88%
143452345.0-143452350.0	1	79.0%	79%	79%	79%	79%	79%
150000000.0-150000005.0	1	72.0%	72%	72%	72%	72%	72%
154424855.0-154424860.0	1	76.0%	76%	76%	76%	76%	76%
156456140.0-156456145.0	1	66.0%	66%	66%	66%	66%	66%
158888885.0-158888890.0	1	57.0%	57%	57%	57%	57%	57%
158963245.0-158963250.0	1	50.0%	50%	50%	50%	50%	50%
169325845.0-169325850.0	1	26.0%	26%	26%	26%	26%	26%
175511415.0-175511420.0	1	72.0%	72%	72%	72%	72%	72%
178997765.0-178997770.0	1	57.0%	57%	57%	57%	57%	57%
185698895.0-185698900.0	1	47.0%	47%	47%	47%	47%	47%
188245345.0-188245350.0	1	69.0%	69%	69%	69%	69%	69%
200000000.0-200000005.0	3	38.0%	16%	64%	16%	34%	64%
200000010.0-200000015.0	1	67.0%	67%	67%	67%	67%	67%
290000000.0-290000005.0	1	71.0%	71%	71%	71%	71%	71%
324657410.0-324657415.0	1	28.0%	28%	28%	28%	28%	28%
411000000.0-411000005.0	1	59.0%	59%	59%	59%	59%	59%
454825840.0-454825845.0	1	47.0%	47%	47%	47%	47%	47%
467889885.0-467889890.0	1	71.0%	71%	71%	71%	71%	71%
497853965.0-497853970.0	1	71.0%	71%	71%	71%	71%	71%
500000000.0-500000005.0	2	48.5%	28%	69%	28%	69%	69%
528362860.0-528362865.0	1	66.0%	66%	66%	66%	66%	66%
543656755.0-543656760.0	1	78.0%	78%	78%	78%	78%	78%
555555555.0-555555560.0	1	60.0%	60%	60%	60%	60%	60%
556555555.0-556555560.0	1	36.0%	36%	36%	36%	36%	36%
600000000.0-600000005.0	1	59.0%	59%	59%	59%	59%	59%
728454090.0-728454095.0	1	79.0%	79%	79%	79%	79%	79%
800000000.0-800000005.0	1	74.0%	74%	74%	74%	74%	74%
902112795.0-902112800.0	1	14.0%	14%	14%	14%	14%	14%
904418720.0-904418725.0	1	29.0%	29%	29%	29%	29%	29%
987654320.0-987654325.0	2	71.5%	71%	72%	71%	72%	72%
999999995.0-1000000000.0	5	64.0%	28%	86%	64%	66%	76%
1000000000.0-1000000005.0	3	72.0%	64%	81%	64%	71%	81%
1000041745.0-1000041750.0	1	72.0%	72%	72%	72%	72%	72%
1000236545.0-1000236550.0	1	72.0%	72%	72%	72%	72%	72%
1222222200.0-1222222205.0	1	67.0%	67%	67%	67%	67%	67%
1233456785.0-1233456790.0	1	76.0%	76%	76%	76%	76%	76%
1234341230.0-1234341235.0	1	16.0%	16%	16%	16%	16%	16%
1234567895.0-1234567900.0	1	48.0%	48%	48%	48%	48%	48%
1258403800.0-1258403805.0	1	71.0%	71%	71%	71%	71%	71%
1400000520.0-1400000525.0	1	86.0%	86%	86%	86%	86%	86%
1490000000.0-1490000005.0	1	72.0%	72%	72%	72%	72%	72%
1566532160.0-1566532165.0	1	16.0%	16%	16%	16%	16%	16%
1584475755.0-1584475760.0	1	81.0%	81%	81%	81%	81%	81%
1587765975.0-1587765980.0	1	67.0%	67%	67%	67%	67%	67%
1656586855.0-1656586860.0	1	67.0%	67%	67%	67%	67%	67%
1676845415.0-1676845420.0	1	76.0%	76%	76%	76%	76%	76%
1800000000.0-1800000005.0	1	45.0%	45%	45%	45%	45%	45%
1834642175.0-1834642180.0	1	66.0%	66%	66%	66%	66%	66%
1888888885.0-1888888890.0	1	72.0%	72%	72%	72%	72%	72%
1890200000.0-1890200005.0	1	62.0%	62%	62%	62%	62%	62%
2000000000.0-2000000005.0	1	59.0%	59%	59%	59%	59%	59%
4567898765.0-4567898770.0	1	88.0%	88%	88%	88%	88%	88%
5455565555.0-5455565560.0	1	71.0%	71%	71%	71%	71%	71%
5958565655.0-5958565660.0	1	91.0%	91%	91%	91%	91%	91%
6854775805.0-6854775810.0	1	74.0%	74%	74%	74%	74%	74%
7407026190.0-7407026195.0	1	71.0%	71%	71%	71%	71%	71%
7435770365.0-7435770370.0	1	57.0%	57%	57%	57%	57%	57%
7894351350.0-7894351355.0	1	67.0%	67%	67%	67%	67%	67%
8751234845.0-8751234850.0	1	72.0%	72%	72%	72%	72%	72%
9999999995.0-10000000000.0	4	46.0%	14%	78%	21%	71%	78%
10000000000.0-10000000005.0	9	64.3%	43%	81%	50%	71%	71%
10002236565.0-10002236570.0	1	78.0%	78%	78%	78%	78%	78%
10900000000.0-10900000005.0	1	74.0%	74%	74%	74%	74%	74%
11111000000.0-11111000005.0	1	69.0%	69%	69%	69%	69%	69%
11111111110.0-11111111115.0	6	59.0%	21%	71%	62%	69%	69%
11354151515.0-11354151520.0	1	66.0%	66%	66%	66%	66%	66%
12234667895.0-12234667900.0	1	69.0%	69%	69%	69%	69%	69%
16598569855.0-16598569860.0	1	43.0%	43%	43%	43%	43%	43%
20000000000.0-20000000005.0	4	73.0%	60%	90%	71%	71%	90%
30000000000.0-30000000005.0	1	71.0%	71%	71%	71%	71%	71%
33333333330.0-33333333335.0	1	66.0%	66%	66%	66%	66%	66%
40000000000.0-40000000005.0	1	78.0%	78%	78%	78%	78%	78%
56555566445.0-56555566450.0	1	72.0%	72%	72%	72%	72%	72%
60000000000.0-60000000005.0	1	71.0%	71%	71%	71%	71%	71%
75648248850.0-75648248855.0	1	71.0%	71%	71%	71%	71%	71%
87856676985.0-87856676990.0	1	43.0%	43%	43%	43%	43%	43%
91919191910.0-91919191915.0	1	86.0%	86%	86%	86%	86%	86%
92854775805.0-92854775810.0	1	14.0%	14%	14%	14%	14%	14%
99000000000.0-99000000005.0	1	74.0%	74%	74%	74%	74%	74%
